ID,Level 1 (TOP TERMS),Level 2 (BROADER TERM),SYNONYMS,DESCRIPTION,Sport England TT,SportSuite TT,EMD TT,SE BT,SS TT,EMD TT,SE Recognised TT?,SE Recognised BT?
56ba53cd-aaa5-4401-a5f9-7aa2d87bf594,Cardiovascular Classes,Insanity,Insanity®,Insanity uses MAX Interval Training to force the body to work for longer periods of time at a higher capacity than traditional workouts.,No,No,No,Level 2,Level 1,Level 2,No,No
a426499e-fc97-4a56-81ab-09f581ef0a91,Cardiovascular Classes,Jump Fx,,,No,No,No,No,No,Level 2,No,No
8e1264db-697b-480b-b492-d3dc88bd0b2b,Cardiovascular Classes,Les Mills Grit™,,,No,No,No,No,No,Level 2,No,No
d9f86e98-ffbc-4621-aabd-e5d7ff0aa058,Cardiovascular Classes,Metafit,,,No,No,No,No,No,Level 2,No,No
9518746d-17e6-4ec4-9559-73c8d0fcb266,Cardiovascular Classes,New Body,,,No,No,No,No,No,Level 2,No,No
89f3254e-0d8b-4d43-9dc3-ddbd0d5ddfea,Cardiovascular Classes,Pound™,,,No,No,No,No,No,Level 2,No,No
424a5a34-5b68-44e8-a348-cd17445edb00,Cardiovascular Classes,Punch And Strike,,,No,No,No,No,No,Level 2,No,No
fb3d49c9-5eb5-44cc-b65c-76c86b0e0651,Cardiovascular Classes,Rebound,,,No,No,No,No,No,Level 2,No,No
2c2b9be5-9491-4958-bee8-70ced347d384,Cardiovascular Classes,Rpm™,RPM,"RPMâ„¢ is an indoor cycling class, set to the rhythm of motivating music.",No,No,No,No,No,Level 2,No,No
1dae5189-7677-4921-9ad2-e04b23faff57,Cardiovascular Classes,Sit N B Fit,,,No,No,No,No,No,Level 2,No,No
1bdf3fac-9d6b-401b-a773-87a9a1c86ed1,Cardiovascular Classes,Skipping,,,No,No,No,Level 1,No,Level 2,No,Yes
ec70ff71-965c-4033-9308-4ab2d38539fc,Cardiovascular Classes,Skiptrix®,,A group exercise programme with multi-levels of jump rope skills and tricks structured into an aerobic workout.,No,No,No,No,No,Level 2,No,No
14eff16c-6da8-4f3e-9a85-37a8e7d3062d,Cardiovascular Classes,Spinning,Spin class,,No,No,No,Level 2,No,Level 2,No,No
4dcf7963-c089-4e9c-995e-8735b3ffc2d7,Cardiovascular Classes,Sprint®,,,No,No,No,No,No,Level 2,No,No
01e547fd-2a10-40a4-a297-6d827c10529c,Cardiovascular Classes,Step Aerobics,,Step involves performing aerobics on an elevated platform (the step).,No,No,No,Level 2,No,Level 2,No,No
296c2a05-e224-4c9e-ba1a-944b769335d0,Cardiovascular Classes,Tabata,,,No,No,No,No,No,Level 2,No,No
